US_State,Value
"Alabama,AL",3000
"Alaska,AK",500
"Arizona,AZ",2000
"Arkansas,AR",1000
"California,CA",3000
"Colorado,CO",2000
"Connecticut,CT",3000
"Delaware,DE",3000
"Florida,FL",2000
"Georgia,GA",3000
"Hawaii,HI",500
"Idaho,ID",3000
"Illinois,IL",2000
"Indiana,IN",3000
"Iowa,IA",3000
"Kansas,KS",500
"Kentucky,KY",1000
"Louisiana,LA",2000
"Maine,ME",2000
"Maryland,MD",500
"Massachusetts,MA",2000
"Michigan,MI",1000
"Minnesota,MN",2000
"Mississippi,MS",500
"Missouri,MO",2000
"Montana,MT",1
"Nebraska,NE",1000
"Nevada,NV",3000
"New Hampshire,NH",2000
"New Jersey,NJ",2000
"New Mexico,NM",500
"New York,NY",3000
"North Carolina,NC",500
"North Dakota,ND",2
"Ohio,OH",
"Oklahoma,OK",1000
"Oregon,OR",2
"Pennsylvania,PA",500
"Rhode Island,RI",500
"South Carolina,SC",4000
"South Dakota,SD",500
"Tennessee,TN",500
"Texas,TX",500
"Utah,UT",500
"Vermont,VT",1000
"Virginia,VA",500
"Washington,WA",500
"West Virginia,WV",500
"Wisconsin,WI",4000
"Wyoming,WY",1
